Type,KUKSAT
T0037,"Construct access paths to suites of information (e.g., link pages) to facilitate access by end-users."
T0038,Develop threat model based on customer interviews and requirements.
T0039,Consult with customers to evaluate functional requirements.
T0040,Consult with engineering staff to evaluate interface between hardware and software.
T0041,Coordinate and provide expert technical support to enterprise-wide cyber defense technicians to resolve cyber defense incidents.
T0042,"Coordinate with Cyber Defense Analysts to manage and administer the updating of rules and signatures (e.g., intrusion detection/protection systems, antivirus, and content blacklists) for specialized cyber defense applications."
T0043,Coordinate with enterprise-wide cyber defense staff to validate network alerts.
T0044,"Collaborate with stakeholders to establish the enterprise continuity of operations program, strategy, and mission assurance."
T0045,"Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions."
T0046,Correct errors by making appropriate changes and rechecking the program to ensure that desired results are produced.
T0047,Correlate incident data to identify specific vulnerabilities and make recommendations that enable expeditious remediation.
T0048,"Create a forensically sound duplicate of the evidence (i.e., forensic image) that ensures the original evidence is not unintentionally modified, to use for data recovery and analysis processes. This includes, but is not limited to, hard drives, floppy diskettes, CDs, PDAs, mobile phones, GPS, and all tape formats."
T0049,Decrypt seized data using technical means.
T0050,Define and prioritize essential system capabilities or business functions required for partial or full system restoration after a catastrophic failure event.
T0051,"Define appropriate levels of system availability based on critical system functions and ensure that system requirements identify appropriate disaster recovery and continuity of operations requirements to include any appropriate fail-over/alternate site requirements, backup requirements, and material supportability requirements for system recover/restoration."
T0052,Define project scope and objectives based on customer requirements.
T0053,Design and develop cybersecurity or cybersecurity-enabled products.
T0054,"Design group policies and access control lists to ensure compatibility with organizational standards, business rules, and needs."
T0055,"Design hardware, operating systems, and software applications to adequately address cybersecurity requirements."
T0056,"Design or integrate appropriate data backup capabilities into overall system designs, and ensure that appropriate technical and procedural processes exist for secure system backups and protected storage of backup data."
T0057,"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design."
T0058,Determine level of assurance of developed capabilities based on test results.
T0059,"Develop a plan to investigate alleged crime, violation, or suspicious activity utilizing computers and the Internet."
T0060,Develop an understanding of the needs and requirements of information end-users.
T0061,Develop and direct system testing and validation procedures and documentation.
T0062,"Develop and document requirements, capabilities, and constraints for design procedures and processes."
T0063,Develop and document systems administration standard operating procedures.
T0064,"Review and validate data mining and data warehousing programs, processes, and requirements."
T0065,Develop and implement network backup and recovery procedures.
T0066,Develop and maintain strategic plans.
T0067,Develop architectures or system components consistent with technical specifications.
T0068,"Develop data standards, policies, and procedures."
T0069,Develop detailed security design documentation for component and interface specifications to support system design and development.
T0070,Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.
T0071,"Develop/integrate cybersecurity designs for systems and networks with multilevel security requirements or requirements for the processing of multiple classification levels of data primarily applicable to government organizations (e.g., UNCLASSIFIED, SECRET, and TOP SECRET)."
T0072,"Develop methods to monitor and measure risk, compliance, and assurance efforts."
T0073,Develop new or identify existing awareness and training materials that are appropriate for intended audiences.
T0074,"Develop policy, programs, and guidelines for implementation."
T0075,Provide technical summary of findings in accordance with established reporting procedures.
T0076,Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.
T0077,Develop secure code and error handling.
T0078,Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.
T0079,"Develop specifications to ensure that risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level."
T0080,Develop test plans to address specifications and requirements.
T0081,Diagnose network connectivity problem.
T0082,"Document and address organization's information security, cybersecurity architecture, and systems security engineering requirements throughout the acquisition life cycle."
T0083,Draft statements of preliminary or residual security risks for system operation.
T0084,Employ secure configuration management processes.
T0085,Ensure all systems security operations and maintenance activities are properly documented and updated as necessary.
T0086,Ensure that the application of security patches for commercial products integrated into system design meet the timelines dictated by the management authority for the intended operational environment.
T0087,Ensure that chain of custody is followed for all digital media acquired in accordance with the Federal Rules of Evidence.
T0088,Ensure that cybersecurity-enabled products or other compensating security control technologies reduce identified risk to an acceptable level.
T0089,"Ensure that security improvement actions are evaluated, validated, and implemented as required."
T0090,Ensure that acquired or developed system(s) and architecture(s) are consistent with organization's cybersecurity architecture guidelines.
T0091,"Ensure that cybersecurity inspections, tests, and reviews are coordinated for the network environment."
T0092,Ensure that cybersecurity requirements are integrated into the continuity planning for that system and/or organization(s).
T0093,Ensure that protection and detection capabilities are acquired or developed using the IS security engineering approach and are consistent with organization-level cybersecurity architecture.
T0094,Establish and maintain communication channels with stakeholders.
T0095,Establish overall enterprise information security architecture (EISA) with the organization’s overall security strategy.
T0096,"Establish relationships, if applicable, between the incident response team and other groups, both internal (e.g., legal department) and external (e.g., law enforcement agencies, vendors, public relations professionals)."
T0097,Evaluate and approve development efforts to ensure that baseline security safeguards are appropriately installed.
T0098,"Evaluate contracts to ensure compliance with funding, legal, and program requirements."
T0099,"Evaluate cost/benefit, economic, and risk analysis in decision-making process."
T0100,"Evaluate factors such as reporting formats required, cost constraints, and need for security restrictions to determine hardware configuration."
T0101,Evaluate the effectiveness and comprehensiveness of existing training programs.
T0102,"Evaluate the effectiveness of laws, regulations, policies, standards, or procedures."
T0103,Examine recovered data for information of relevance to the issue at hand.
T0104,Fuse computer network attack analyses with criminal and counterintelligence investigations and operations.
T0105,"Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements."
T0106,Identify alternative information security strategies to address organizational security objective.
T0107,"Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable)."
T0108,Identify and prioritize critical business functions in collaboration with organizational stakeholders.
T0109,Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.
T0110,Identify and/or determine whether a security incident is indicative of a violation of law that requires specific legal action.
T0111,Identify basic common coding flaws at a high level.
T0112,Identify data or intelligence of evidentiary value to support counterintelligence and criminal investigations.
T0113,Identify digital evidence for examination and analysis in such a way as to avoid unintentional alteration.
T0114,Identify elements of proof of the crime.
T0115,Identify information technology (IT) security program implications of new technologies or technology upgrades.
T0116,Identify organizational policy stakeholders.
T0117,Identify security implications and apply methodologies within centralized and decentralized environments across the enterprise’s computer systems in software development.
T0118,Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.
T0119,"Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure that recommended products are in compliance with organization's evaluation and validation requirements."
T0120,"Identify, collect, and seize documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents, investigations, and operations."
T0121,"Implement new system design procedures, test procedures, and quality standards."
T0122,Implement security designs for new or existing system(s).
T0123,Implement specific cybersecurity countermeasures for systems and/or applications.
T0124,"Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts)."
T0125,"Install and maintain network infrastructure device operating system software (e.g., IOS, firmware)."
T0126,"Install or replace network hubs, routers, and switches."
T0127,Integrate and align information security and/or cybersecurity policies to ensure that system analysis meets security requirements.
T0128,Integrate automated capabilities for updating or patching system software where practical and develop processes and procedures for manual updating and patching of system software based on current and projected patch timeline requirements for the operational environment of the system.
T0129,Integrate new systems into existing network architecture.
T0130,"Interface with external organizations (e.g., public affairs, law enforcement, Command or Component Inspector General) to ensure appropriate and accurate dissemination of incident and other Computer Network Defense information."
T0131,"Interpret and apply laws, regulations, policies, standards, or procedures to specific issues."
T0132,Interpret and/or approve security requirements relative to the capabilities of new information technologies.
T0133,Interpret patterns of noncompliance to determine their impact on levels of risk and/or overall effectiveness of the enterprise’s cybersecurity program.
T0134,Lead and align information technology (IT) security priorities with the security strategy.
T0135,"Lead and oversee information security budget, staffing, and contracting."
T0136,Maintain baseline system security according to organizational policies.
T0137,Maintain database management systems software.
T0138,"Maintain deployable cyber defense audit toolkit (e.g., specialized cyber defense software and hardware) to support cyber defense audit missions."
T0139,Maintain directory replication services that enable information to replicate automatically from rear servers to forward units via optimized routing.
T0140,"Maintain information exchanges through publish, subscribe, and alert functions that enable users to send and receive critical information as required."
T0141,Maintain information systems assurance and accreditation materials.
T0142,"Maintain knowledge of applicable cyber defense policies, regulations, and compliance documents specifically related to cyber defense auditing."
T0143,Make recommendations based on test results.
T0144,"Manage accounts, network rights, and access to systems and equipment."
T0145,"Manage and approve Accreditation Packages (e.g., ISO/IEC 15026-2)."
T0146,"Manage the compilation, cataloging, caching, distribution, and retrieval of data."
T0147,Manage the monitoring of information security data sources to maintain organizational situational awareness.
T0148,"Manage the publishing of Computer Network Defense guidance (e.g., TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency."
T0149,Manage threat or target analysis of cyber defense information and production of threat information within the enterprise.
T0150,"Monitor and evaluate a system's compliance with information technology (IT) security, resilience, and dependability requirements."
T0151,Monitor and evaluate the effectiveness of the enterprise's cybersecurity safeguards to ensure that they provide the intended level of protection.
T0152,Monitor and maintain databases to ensure optimal performance.
T0153,Monitor network capacity and performance.
T0154,Monitor and report the usage of knowledge management assets and resources.
T0155,"Document and escalate incidents (including event’s history, status, and potential impact for further action) that may cause ongoing and immediate impact to the environment."
T0156,Oversee and make recommendations regarding configuration management.
T0157,Oversee the information security training and awareness program.
T0158,Participate in an information security risk assessment during the Security Assessment and Authorization process.
T0159,Participate in the development or modification of the computer environment cybersecurity program plans and requirements.
T0160,Patch network vulnerabilities to ensure that information is safeguarded against outside parties.
T0161,"Perform analysis of log files from a variety of sources (e.g., individual host logs, network traffic logs, firewall logs, and intrusion detection system [IDS] logs) to identify possible threats to network security."
T0162,Perform backup and recovery of databases to ensure data integrity.
T0163,"Perform cyber defense incident triage, to include determining scope, urgency, and potential impact, identifying the specific vulnerability, and making recommendations that enable expeditious remediation."
T0164,Perform cyber defense trend analysis and reporting.
T0165,"Perform dynamic analysis to boot an “image” of a drive (without necessarily having the original drive) to see the intrusion as the user may have seen it, in a native environment."
T0166,Perform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attack.
T0167,Perform file signature analysis.
T0168,Perform hash comparison against established database.
T0169,Perform cybersecurity testing of developed applications and/or systems.
T0170,"Perform initial, forensically sound collection of images and inspect to discern possible mitigation/remediation on enterprise systems."
T0171,Perform integrated quality assurance testing for security functionality and resiliency attack.
T0172,"Perform real-time forensic analysis (e.g., using Helix in conjunction with LiveView)."
T0173,Perform timeline analysis.
T0174,Perform needs analysis to determine opportunities for new and improved business process solutions.
T0175,"Perform real-time cyber defense incident handling (e.g., forensic collections, intrusion correlation and tracking, threat analysis, and direct system remediation) tasks to support deployable Incident Response Teams (IRTs)."
T0176,Perform secure programming and identify potential flaws in codes to mitigate vulnerabilities.
T0177,"Perform security reviews, identify gaps in security architecture, and develop a security risk management plan."
T0178,Perform security reviews and identify security gaps in security architecture resulting in recommendations for inclusion in the risk mitigation strategy.
T0179,Perform static media analysis.
T0180,"Perform system administration on specialized cyber defense applications and systems (e.g., antivirus, audit and remediation) or Virtual Private Network (VPN) devices, to include installation, configuration, maintenance, backup, and restoration."
T0181,"Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change."
T0182,"Perform tier 1, 2, and 3 malware analysis."
T0183,"Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks."
T0184,Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks.
T0185,Plan and manage the delivery of knowledge management projects.
T0186,"Plan, execute, and verify data redundancy and system recovery procedures."
T0187,Plan and recommend modifications or adjustments based on exercise results or system environment.
T0188,"Prepare audit reports that identify technical and procedural findings, and provide recommended remediation strategies/solutions."
T0189,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language."
T0190,"Prepare digital media for imaging by ensuring data integrity (e.g., write blockers in accordance with standard operating procedures)."
T0191,Prepare use cases to justify the need for specific information technology (IT) solutions.
T0192,"Prepare, distribute, and maintain plans, instructions, guidance, and standard operating procedures concerning the security of network system(s) operations."
T0193,Process crime scenes.
T0194,"Properly document all systems security implementation, operations, and maintenance activities and update as necessary."
T0195,Provide a managed flow of relevant information (via web-based portals or other means) based on mission requirements.
T0196,"Provide advice on project costs, design concepts, or design changes."
T0197,"Provide an accurate technical evaluation of the software application, system, or network, documenting the security posture, capabilities, and vulnerabilities against relevant cybersecurity compliances."
T0198,Provide daily summary reports of network events and activity relevant to cyber defense practices.
T0199,Provide enterprise cybersecurity and supply chain risk management guidance for development of the Continuity of Operations Plans.
T0200,"Provide feedback on network requirements, including network architecture and infrastructure."
T0201,Provide guidelines for implementing developed systems to customers or installation teams.
T0202,Provide cybersecurity guidance to leadership.
T0203,Provide input on security requirements to be included in statements of work and other appropriate procurement documents.
T0204,Provide input to implementation plans and standard operating procedures.
T0205,"Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials)."
T0206,"Provide leadership and direction to information technology (IT) personnel by ensuring that cybersecurity awareness, basics, literacy, and training are provided to operations personnel commensurate with their responsibilities."
T0207,Provide ongoing optimization and problem-solving support.
T0208,Provide recommendations for possible improvements and upgrades.
T0209,Provide recommendations on data structures and databases that ensure correct and quality production of reports/management information.
T0210,Provide recommendations on new database technologies and architectures.
T0211,Provide system-related input on cybersecurity requirements to be included in statements of work and other appropriate procurement documents.
T0212,Provide technical assistance on digital evidence matters to appropriate personnel.
T0213,"Provide technical documents, incident reports, findings from computer examinations, summaries, and other situational awareness information to higher headquarters."
T0214,Receive and analyze network alerts from various sources within the enterprise and determine possible causes of such alerts.
T0215,"Recognize a possible security violation and take appropriate action to report the incident, as required."
T0216,Recognize and accurately report forensic artifacts indicative of a particular operating system.
T0217,"Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing."
T0218,"Recommend new or revised security, resilience, and dependability measures based on the results of reviews."
T0219,Recommend resource allocations required to securely operate and maintain an organization’s cybersecurity requirements.
T0220,"Resolve conflicts in laws, regulations, policies, standards, or procedures."
T0221,"Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network."
T0222,Review existing and proposed policies with stakeholders.
T0223,Review or conduct audits of information technology (IT) programs and projects.
T0224,"Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions)."
T0225,Secure the electronic device or information source.
T0226,Serve on agency and interagency policy boards.
T0227,Recommend policy and coordinate review and approval.
T0228,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
T0229,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.
T0230,Support the design and execution of exercise scenarios.
T0231,Provide support to security/certification test and evaluation activities.
T0232,Test and maintain network infrastructure including software and hardware devices.
T0233,Track and document cyber defense incidents from initial detection through final resolution.
T0234,Track audit findings and recommendations to ensure that appropriate mitigation actions are taken.
T0235,Translate functional requirements into technical solutions.
T0236,"Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria."
T0237,Troubleshoot system hardware and software.
T0238,"Extract data using data carving techniques (e.g., Forensic Tool Kit [FTK], Foremost)."
T0239,Use federal and organization-specific published documents to manage operations of their computing environment system(s).
T0240,Capture and analyze network traffic associated with malicious activities using network monitoring tools.
T0241,"Use specialized equipment and techniques to catalog, document, extract, collect, package, and preserve digital evidence."
T0242,Utilize models and simulations to analyze or predict system performance under different operating conditions.
T0243,Verify and update security documentation reflecting the application/system security design features.
T0244,"Verify that application software/network/system security postures are implemented as stated, document deviations, and recommend required actions to correct those deviations."
T0245,Verify that the software application/network/system accreditation and assurance documentation is current.
T0246,"Write and publish cyber defense techniques, guidance, and reports on incident findings to appropriate constituencies."
T0247,"Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce."
T0248,Promote awareness of security issues among management and ensure sound security principles are reflected in the organization's vision and goals.
T0249,Research current technology to understand capabilities of required system or network.
T0250,Identify cyber capabilities strategies for custom hardware and software development based on mission requirements.
T0251,"Develop security compliance processes and/or audits for external services (e.g., cloud service providers, data centers)."
T0252,"Conduct required reviews as appropriate within environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews)."
T0253,Conduct cursory binary analysis.
T0254,Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies.
T0255,"Participate in Risk Governance process to provide security risks, mitigations, and input on other technical risk."
T0256,Evaluate the effectiveness of procurement function in addressing information security requirements and supply chain risks through procurement activities and recommend improvements.
T0257,"Determine scope, infrastructure, resources, and data sample size to ensure system requirements are adequately demonstrated."
T0258,"Provide timely detection, identification, and alerting of possible attacks/intrusions, anomalous activities, and misuse activities and distinguish these incidents and events from benign activities."
T0259,Use cyber defense tools for continual monitoring and analysis of system activity to identify malicious activity.
T0260,"Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information."
T0261,"Assist in identifying, prioritizing, and coordinating the protection of critical cyber defense infrastructure and key resources."
T0262,"Employ approved defense-in-depth principles and practices (e.g., defense-in-multiple places, layered defenses, security robustness)."
T0263,Identify security requirements specific to an information technology (IT) system in all phases of the system life cycle.
T0264,"Ensure that plans of actions and milestones or remediation plans are in place for vulnerabilities identified during risk assessments, audits, inspections, etc."
T0265,Assure successful implementation and functionality of security requirements and appropriate information technology (IT) policies and procedures that are consistent with the organization's mission and goals.
T0266,Perform penetration testing as required for new or updated applications.
T0267,Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements.
T0268,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.
T0269,Design and develop key management functions (as related to cybersecurity).
T0270,Analyze user needs and requirements to plan and conduct system security development.
T0271,"Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information)."
T0272,Ensure that security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.
T0273,"Develop and document supply chain risks for critical system elements, as appropriate."
T0274,Create auditable evidence of security measures.
T0275,"Support necessary compliance activities (e.g., ensure that system security configuration guidelines are followed, compliance monitoring occurs)."
T0276,"Participate in the acquisition process as necessary, following appropriate supply chain risk management practices."
T0277,"Ensure that all acquisitions, procurements, and outsourcing efforts address information security requirements consistent with organization goals."
T0278,"Collect intrusion artifacts (e.g., source code, malware, Trojans) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise."
T0279,Serve as technical expert and liaison to law enforcement personnel and explain incident details as required.
T0280,Continuously validate the organization against policies/guidelines/procedures/regulations/laws to ensure compliance.
T0281,Forecast ongoing service demands and ensure that security assumptions are reviewed as necessary.
T0282,Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate.
T0283,Collaborate with stakeholders to identify and/or develop appropriate solutions technology.
T0284,Design and develop new tools/technologies as related to cybersecurity.
T0285,Perform virus scanning on digital media.
T0286,Perform file system forensic analysis.
T0287,"Perform static analysis to mount an ""image"" of a drive (without necessarily having the original drive)."
T0288,Perform static malware analysis.
T0289,Utilize deployable forensics toolkit to support operations as necessary.
T0290,"Determine tactics, techniques, and procedures (TTPs) for intrusion sets."
T0291,Examine network topologies to understand data flows through the network.
T0292,Recommend computing environment vulnerability corrections.
T0293,Identify and analyze anomalies in network traffic using metadata.
T0294,"Conduct research, analysis, and correlation across a wide variety of all source data sets (indications and warnings)."
T0295,Validate intrusion detection system (IDS) alerts against network traffic using packet analysis tools.
T0296,Isolate and remove malware.
T0297,Identify applications and operating systems of a network device based on network traffic.
T0298,Reconstruct a malicious attack or activity based off network traffic.
T0299,Identify network mapping and operating system (OS) fingerprinting activities.
T0300,Develop and document User Experience (UX) requirements including information architecture and user interface requirements.
T0301,Develop and implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities.
T0302,"Develop contract language to ensure supply chain, system, network, and operational security are met."
T0303,Identify and leverage the enterprise-wide version control system while designing and developing secure applications.
T0304,"Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment."
T0305,"Performs configuration management, problem management, capacity management, and financial management for databases and data management systems."
T0306,"Supports incident management, service-level management, change management, release management, continuity management, and availability management for databases and data management systems."
T0307,"Analyze candidate architectures, allocate security services, and select security mechanisms. "
T0308,Analyze incident data for emerging trends. 
T0309,Assess the effectiveness of security controls.
T0310,Assist in the construction of signatures which can be implemented on cyber defense network tools in response to new or observed threats within the network environment or enclave. 
T0311,Consult with customers about software system design and maintenance. 
T0312,Coordinate with intelligence analysts to correlate threat assessment data. 
T0313,Design and document quality standards. 
T0314,"Develop a system security context, a preliminary system security Concept of Operations (CONOPS), and define baseline system security requirements in accordance with applicable cybersecurity requirements. "
T0315,Develop and deliver technical training to educate others or meet customer needs. 
T0316,Develop or assist in the development of computer based training modules or classes.
T0317,Develop or assist in the development of course assignments.
T0318,Develop or assist in the development of course evaluations.
T0319,Develop or assist in the development of grading and proficiency standards.
T0320,"Assist in the development of individual/collective development, training, and/or remediation plans."
T0321,Develop or assist in the development of learning objectives and goals.
T0322,Develop or assist in the development of on-the-job training materials or programs.
T0323,Develop or assist in the development of written tests for measuring and assessing learner proficiency.
T0324,Direct software programming and development of documentation.
T0325,Document a system's purpose and preliminary system security concept of operations.
T0326,Employ configuration management processes. 
T0327,Evaluate network infrastructure vulnerabilities to enhance capabilities being developed.
T0328,Evaluate security architectures and designs to determine the adequacy of security design and architecture proposed or provided in response to requirements contained in acquisition documents. 
T0329,Follow software and systems engineering life cycle standards and processes.
T0330,Maintain assured message delivery systems. 
T0331,Maintain incident tracking and solution database. 
T0332,"Notify designated managers, cyber incident responders, and cybersecurity service provider team members of suspected cyber incidents and articulate the event's history, status, and potential impact for further action in accordance with the organization's cyber incident response plan."
T0333,Perform cyber defense trend analysis and reporting.
T0334,"Ensure that all systems components can be integrated and aligned (e.g., procedures, databases, policies, software, and hardware). "
T0335,"Build, install, configure, and test dedicated cyber defense hardware. "
T0337,"Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel."
T0338,Write detailed functional specifications that document the architecture development process. 
T0339,Lead efforts to promote the organization's use of knowledge management and information sharing.
T0340,"Act as a primary stakeholder in the underlying information technology (IT) operational processes and functions that support the service, provide direction and monitor all significant activities so the service is delivered successfully."
T0341,"Advocate for adequate funding for cyber training resources, to include both internal and industry-provided courses, instructors, and related materials."
T0342,Analyze data sources to provide actionable recommendations.
T0343,"Analyze the crisis to ensure public, personal, and resource protection."
T0344,Assess all the configuration management (change configuration/release management) processes. 
T0345,"Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction."
T0346,"Assess the behavior of the individual victim, witness, or suspect as it relates to the investigation."
T0347,Assess the validity of source data and subsequent findings.
T0348,Assist in assessing the impact of implementing and sustaining a dedicated cyber defense infrastructure.
T0349,Collect metrics and trending data.
T0350,"Conduct a market analysis to identify, assess, and recommend commercial, Government off-the-shelf, and open source products for use within a system and ensure recommended products are in compliance with organization's evaluation and validation requirements."
T0351,Conduct hypothesis testing using statistical processes.
T0352,Conduct learning needs assessments and identify requirements.
T0353,"Confer with systems analysts, engineers, programmers, and others to design application."
T0354,Coordinate and manage the overall service provided to a customer end-to-end.
T0355,Coordinate with internal and external subject matter experts to ensure existing qualification standards reflect organizational functional requirements and meet industry standards.
T0356,Coordinate with organizational manpower stakeholders to ensure appropriate allocation and distribution of human capital assets.
T0357,Create interactive learning exercises to create an effective learning environment.
T0358,Design and develop system administration and management functionality for privileged access users.
T0359,"Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies."
T0360,Determine the extent of threats and recommend courses of action or countermeasures to mitigate risks.
T0361,Develop and facilitate data-gathering methods.
T0362,Develop and implement standardized position descriptions based on established cyber work roles.
T0363,"Develop and review recruiting, hiring, and retention procedures in accordance with current HR policies."
T0364,Develop cyber career field classification structure to include establishing career field entry requirements and other nomenclature such as codes and identifiers.
T0365,Develop or assist in the development of training policies and protocols for cyber training.
T0366,Develop strategic insights from large data sets.
T0367,Develop the goals and objectives for cyber curriculum.
T0368,Ensure that cyber career fields are managed in accordance with organizational HR policies and directives.
T0369,"Ensure that cyber workforce management policies and processes comply with legal and organizational requirements regarding equal opportunity, diversity, and fair hiring/employment practices."
T0370,Ensure that appropriate Service-Level Agreements (SLAs) and underpinning contracts have been defined that clearly set out for the customer a description of the service and the measures for monitoring the service.
T0371,"Establish acceptable limits for the software application, network, or system."
T0372,"Establish and collect metrics to monitor and validate cyber workforce readiness including analysis of cyber workforce data to assess the status of positions identified, filled, and filled with qualified personnel."
T0373,Establish and oversee waiver processes for cyber career field entry and training qualification requirements.
T0374,"Establish cyber career paths to allow career progression, deliberate development, and growth within and between cyber career fields."
T0375,"Establish manpower, personnel, and qualification data element standards to support cyber workforce management and reporting requirements."
T0376,"Establish, resource, implement, and assess cyber workforce management programs in accordance with organizational requirements."
T0377,Gather feedback on customer satisfaction and internal service performance to foster continual improvement.
T0378,Incorporates risk-driven systems maintenance updates process to address system deficiencies (periodically and out of cycle).
T0379,"Manage the internal relationship with information technology (IT) process owners supporting the service, assisting with the definition and agreement of Operating Level Agreements (OLAs)."
T0380,"Plan instructional strategies such as lectures, demonstrations, interactive exercises, multimedia presentations, video courses, web-based courses for most effective learning environment in conjunction with educators and trainers."
T0381,Present technical information to technical and nontechnical audiences.
T0382,Present data in creative formats.
T0383,Program custom algorithms.
T0384,"Promote awareness of cyber policy and strategy as appropriate among management and ensure sound principles are reflected in the organization's mission, vision, and goals."
T0385,Provide actionable recommendations to critical stakeholders based on data analysis and findings.
T0386,Provide criminal investigative support to trial counsel during the judicial process. 
T0387,Review and apply cyber career field qualification standards.
T0388,Review and apply organizational policies related to or influencing the cyber workforce.
T0389,"Review service performance reports identifying any significant issues and variances, initiating, where necessary, corrective actions and ensuring that all outstanding issues are followed up."
T0390,Review/Assess cyber workforce effectiveness to adjust skill and/or qualification standards.
T0391,Support integration of qualified cyber workforce personnel into information systems life cycle development processes.
T0392,"Utilize technical documentation or resources to implement a new mathematical, data science, or computer science method."
T0393,Validate specifications and requirements for testability.
T0394,"Work with other service managers and product owners to balance and prioritize services to meet overall customer requirements, constraints, and objectives."
T0395,Write and publish after action reviews.
T0396,Process image with appropriate tools depending on analyst’s goals.
T0397,Perform Windows registry analysis. 
T0398,Perform file and registry monitoring on the running system after identifying intrusion via dynamic analysis. 
T0399,"Enter media information into tracking database (e.g., Product Tracker Tool) for digital media that has been acquired. "
T0400,Correlate incident data and perform cyber defense reporting. 
T0401,"Maintain deployable cyber defense toolkit (e.g., specialized cyber defense software/hardware) to support Incident Response Team mission."
T0402,Effectively allocate storage capacity in the design of data management systems.
T0403,"Read, interpret, write, modify, and execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX systems (e.g., those that perform tasks such as: parsing large data files, automating manual tasks, and fetching/processing remote data)."
T0404,"Utilize different programming languages to write code, open files, read files, and write output to different files."
T0405,"Utilize open source language such as R and apply quantitative techniques (e.g., descriptive and inferential statistics, sampling, experimental design, parametric and non-parametric tests of difference, ordinary least squares regression, general line)."
T0406,Ensure that design and development activities are properly documented (providing a functional description of implementation) and updated as necessary.
T0407,Participate in the acquisition process as necessary.
T0408,"Interpret and apply applicable laws, statutes, and regulatory documents and integrate into policy."
T0409,"Troubleshoot prototype design and process issues throughout the product design, development, and pre-launch phases."
T0410,Identify functional- and security-related features to find opportunities for new capability development to exploit or mitigate vulnerabilities.
T0411,Identify and/or develop reverse engineering tools to enhance capabilities and detect vulnerabilities.
T0412,Conduct import/export reviews for acquiring systems and software.
